source1_entity_id	candidate_entity_id	ann_rank
S1-656753428	S3-321788635	5
S1-656753428	S3-965153512	6
S1-656753428	S2-76929456	7
S1-656753428	S2-653224778	8
S1-656753428	S2-536491572	9
S1-656753428	S3-224671366	10
S1-656753428	S3-467760732	11
S1-656753428	S3-295844085	12
S1-656753428	S3-357004924	13
S1-656753428	S3-58078985	14
S1-656753428	S2-123602211	15
S1-656753428	S3-120660237	16
S1-656753428	S2-765531962	17
S1-656753428	S3-128559392	18
S1-656753428	S2-165387714	19
S1-656753428	S2-784069702	20
S1-102811957	S2-478959098	1
S1-102811957	S3-928796641	2
S1-102811957	S3-449308785	3
S1-102811957	S2-625774905	4
S1-102811957	S2-553508714	5
S1-102811957	S3-728090388	6
S1-102811957	S3-11747071	7
S1-102811957	S3-401083226	8
S1-102811957	S3-390658007	9
S1-102811957	S3-788218402	10
S1-102811957	S3-5367438	11
S1-102811957	S3-86931763	12
S1-102811957	S3-562051237	13
S1-102811957	S3-627689863	14
S1-102811957	S2-904739032	15
S1-102811957	S3-413782055	16
S1-102811957	S2-304367933	17
S1-102811957	S2-852949414	18
S1-102811957	S2-762251380	19
S1-102811957	S3-921236152	20
S1-18727616	S2-755677256	1
S1-18727616	S3-187831601	2
S1-18727616	S3-641489370	3
S1-18727616	S3-476250621	4
S1-18727616	S3-904629724	5
S1-18727616	S3-522300733	6
S1-18727616	S3-707313622	7
S1-18727616	S2-703543498	8
S1-18727616	S3-968943573	9
S1-18727616	S2-653494868	10
S1-18727616	S2-393859387	11
S1-18727616	S2-185857149	12
S1-18727616	S2-248964590	13
S1-18727616	S2-372552572	14
S1-18727616	S3-263875114	15
S1-18727616	S2-233960670	16
S1-18727616	S2-614925277	17
S1-18727616	S2-374634037	18
S1-18727616	S2-558088510	19
S1-18727616	S2-248253507	20
S1-318373630	S3-804600254	1
S1-318373630	S2-901535919	2
S1-318373630	S3-513827352	3
S1-318373630	S2-705693782	4
S1-318373630	S3-664305917	5
S1-318373630	S3-801512944	6
S1-318373630	S2-131116727	7
S1-318373630	S2-285522097	8
S1-318373630	S3-46310686	9
S1-318373630	S3-545296553	10
S1-318373630	S3-965249005	11
S1-318373630	S3-976838152	12
S1-318373630	S2-677652727	13
S1-318373630	S3-95085881	14
S1-318373630	S2-182980695	15
S1-318373630	S2-567018330	16
S1-318373630	S3-540330068	17
S1-318373630	S3-804919078	18
S1-318373630	S3-173422611	19
S1-318373630	S3-874076206	20
S1-86989137	S3-312496301	1
S1-86989137	S3-274817120	2
S1-86989137	S2-228350615	3
S1-86989137	S3-744621250	4
S1-86989137	S3-899773117	5
S1-86989137	S3-77512508	6
S1-86989137	S3-171025699	7
S1-86989137	S2-758689583	8
S1-86989137	S3-944422088	9
S1-86989137	S2-232893420	10
S1-86989137	S3-633301635	11
S1-86989137	S3-559672596	12
S1-86989137	S3-809458063	13
S1-86989137	S3-496534375	14
S1-86989137	S3-434570252	15
S1-86989137	S2-881647202	16
S1-86989137	S3-381082433	17
S1-86989137	S2-441047297	18
S1-86989137	S2-194514208	19
S1-86989137	S2-224315940	20
S1-29845983	S2-648035184	1
S1-29845983	S3-588502663	2
S1-29845983	S2-750663500	3
S1-29845983	S3-688943240	4
S1-29845983	S3-250598210	5
S1-29845983	S3-639101681	6
S1-29845983	S2-63624685	7
S1-29845983	S3-647123302	8
S1-29845983	S3-663101951	9
S1-29845983	S2-619658025	10
S1-29845983	S3-163015684	11
S1-29845983	S3-482865100	12
S1-29845983	S2-286243063	13
S1-29845983	S2-884291524	14
S1-29845983	S3-665854244	15
S1-29845983	S2-481216547	16
S1-29845983	S3-118240838	17
S1-29845983	S3-386180498	18
S1-29845983	S2-177907604	19
S1-29845983	S2-866061733	20
S1-789009573	S3-576451439	1
S1-789009573	S2-383871912	2
S1-789009573	S3-74481402	3
S1-789009573	S3-501170962	4
S1-789009573	S2-804036022	5
S1-789009573	S3-12874952	6
S1-789009573	S3-509573031	7
S1-789009573	S3-392159982	8
S1-789009573	S3-639634647	9
S1-789009573	S3-31841139	10
S1-789009573	S3-291795497	11
S1-789009573	S2-352486553	12
S1-789009573	S2-691193060	13
S1-789009573	S3-928438734	14
S1-789009573	S2-27649967	15
S1-789009573	S2-48642216	16
S1-789009573	S3-344635765	17
S1-789009573	S2-619370270	18
S1-789009573	S3-968803259	19
S1-789009573	S3-322500222	20
S1-730934468	S2-356983532	1
S1-730934468	S3-352439310	2
S1-730934468	S3-744960115	3
S1-730934468	S2-342516392	4
S1-730934468	S3-45408158	5
S1-730934468	S2-65277930	6
S1-730934468	S2-893879976	7
S1-730934468	S3-526258918	8
S1-730934468	S2-235104006	9
S1-730934468	S2-768577605	10
S1-730934468	S2-322172061	11
S1-730934468	S3-589617158	12
S1-730934468	S2-970672192	13
S1-730934468	S3-957928757	14
S1-730934468	S2-557561999	15
S1-730934468	S2-884262442	16
S1-730934468	S3-879135807	17
S1-730934468	S2-430289783	18
S1-730934468	S3-456203858	19
S1-730934468	S2-618776466	20
S1-7293388	S2-157073701	1
S1-7293388	S2-7028416	2
S1-7293388	S3-407597047	3
S1-7293388	S2-442723188	4
S1-7293388	S3-523120965	5
S1-7293388	S2-439553467	6
S1-7293388	S2-140697981	7
S1-7293388	S2-780798418	8
S1-7293388	S2-373148878	9
S1-7293388	S2-503403056	10
S1-7293388	S3-821590696	11
S1-7293388	S2-529663352	12
S1-7293388	S2-19645481	13
S1-7293388	S2-731244327	14
S1-7293388	S2-640067417	15
S1-7293388	S2-884717561	16
S1-7293388	S2-664762559	17
S1-7293388	S2-681414355	18
S1-7293388	S2-645726479	19
S1-7293388	S3-603177086	20
S1-546142636	S3-200008747	1
S1-546142636	S2-582477216	2
S1-546142636	S2-487600131	3
S1-546142636	S3-729771680	4
S1-546142636	S3-249331830	5
S1-546142636	S2-392804085	6
S1-546142636	S2-490759590	7
S1-546142636	S2-390033695	8
S1-546142636	S2-786691385	9
S1-546142636	S2-515088920	10
S1-546142636	S2-708057606	11
S1-546142636	S2-125892540	12
S1-546142636	S2-505037582	13
S1-546142636	S3-990408522	14
S1-546142636	S2-933530730	15
S1-546142636	S3-158247433	16
S1-546142636	S3-997369897	17
S1-546142636	S2-818441961	18
S1-546142636	S3-904310958	19
S1-546142636	S2-276460601	20
S1-274126313	S3-925631694	1
S1-274126313	S2-736616474	2
S1-274126313	S2-51486805	3
S1-274126313	S2-680265918	4
S1-274126313	S3-461175723	5
S1-274126313	S2-611958317	6
S1-274126313	S3-948731453	7
S1-274126313	S3-324069710	8
S1-274126313	S2-786088909	9
S1-274126313	S3-850112871	10
S1-274126313	S2-559179118	11
S1-274126313	S3-84726532	12
S1-274126313	S3-489989316	13
S1-274126313	S2-53223487	14
S1-274126313	S2-475015337	15
S1-274126313	S3-451148811	16
S1-274126313	S2-433291524	17
S1-274126313	S3-417936194	18
S1-274126313	S3-793868160	19
S1-274126313	S3-86631847	20
S1-145361722	S2-939389287	1
S1-145361722	S3-96572514	2
S1-145361722	S2-751773574	3
S1-145361722	S3-689145700	4
S1-145361722	S2-947782672	5
S1-145361722	S2-616901570	6
S1-145361722	S3-275395447	7
S1-145361722	S3-316888197	8
S1-145361722	S3-435367094	9
S1-145361722	S3-923912263	10
S1-145361722	S2-797761919	11
S1-145361722	S3-255233242	12
S1-145361722	S3-883170945	13
S1-145361722	S3-764286550	14
S1-145361722	S3-977950707	15
S1-145361722	S3-22176430	16
S1-145361722	S2-120366543	17
S1-145361722	S3-413061604	18
S1-145361722	S3-373353323	19
S1-145361722	S2-70830062	20
S1-503957000	S2-235117490	1
S1-503957000	S2-353308450	2
S1-503957000	S3-33665521	3
S1-503957000	S3-555791452	4
S1-503957000	S3-858763214	5
S1-503957000	S3-61123581	6
S1-503957000	S2-173295926	7
S1-503957000	S2-994658326	8
S1-503957000	S2-658431821	9
S1-503957000	S3-188148479	10
S1-503957000	S3-583545664	11
S1-503957000	S2-367200330	12
S1-503957000	S3-759383872	13
S1-503957000	S3-265540527	14
S1-503957000	S2-421302101	15
S1-503957000	S2-712824906	16
S1-503957000	S3-573690155	17
S1-503957000	S2-337218873	18
S1-503957000	S3-633816911	19
S1-503957000	S3-23007731	20
S1-692000596	S3-164220452	1
S1-692000596	S2-580419223	2
S1-692000596	S3-783167730	3
S1-692000596	S3-519572500	4
S1-692000596	S2-706267463	5
S1-692000596	S3-501879979	6
S1-692000596	S2-391485145	7
S1-692000596	S2-754521879	8
S1-692000596	S2-67209223	9
S1-692000596	S2-779758167	10
S1-692000596	S3-101920404	11
S1-692000596	S2-280718604	12
S1-692000596	S2-95176072	13
S1-692000596	S3-156749086	14
S1-692000596	S2-575864334	15
S1-692000596	S2-70890392	16
S1-692000596	S2-61476351	17
S1-692000596	S2-816432166	18
S1-692000596	S2-561341938	19
S1-692000596	S2-739352524	20
S1-561341312	S3-619529814	1
S1-561341312	S2-158127746	2
S1-561341312	S3-929462602	3
S1-561341312	S2-401313862	4
S1-561341312	S2-467282998	5
S1-561341312	S3-497918814	6
S1-561341312	S2-586392578	7
S1-561341312	S2-85157060	8
S1-561341312	S3-713696767	9
S1-561341312	S2-173355484	10
S1-561341312	S3-318051310	11
S1-561341312	S3-797270363	12
S1-561341312	S3-550689007	13
S1-561341312	S3-573649183	14
S1-561341312	S3-490774110	15
S1-561341312	S2-211053869	16
S1-561341312	S2-907633470	17
S1-561341312	S3-839440185	18
S1-561341312	S3-129125505	19
S1-561341312	S2-989882926	20
S1-777597828	S2-836452886	1
S1-777597828	S3-882160677	2
S1-777597828	S3-73084990	3
S1-777597828	S2-345845185	4
S1-777597828	S3-518331811	5
S1-777597828	S3-59099615	6
S1-777597828	S2-979750625	7
S1-777597828	S3-802646341	8
S1-777597828	S2-878018335	9
S1-777597828	S2-273737718	10
S1-777597828	S2-296499918	11
S1-777597828	S2-214012800	12
S1-777597828	S2-722635905	13
S1-777597828	S3-982465567	14
S1-777597828	S2-577019754	15
S1-777597828	S3-149968719	16
S1-777597828	S2-663446652	17
S1-777597828	S3-715195589	18
S1-777597828	S2-248068948	19
S1-777597828	S3-309815528	20
S1-282467635	S2-938895481	1
S1-282467635	S2-767706983	2
S1-282467635	S2-644311811	3
S1-282467635	S2-632199016	4
S1-282467635	S3-138350041	5
S1-282467635	S3-660994356	6
S1-282467635	S3-733608032	7
S1-282467635	S2-725425669	8
S1-282467635	S2-414254683	9
S1-282467635	S2-173906066	10
S1-282467635	S2-934599438	11
S1-282467635	S3-800622365	12
S1-282467635	S2-613755078	13
S1-282467635	S3-841455866	14
S1-282467635	S2-177238764	15
S1-282467635	S3-699607068	16
S1-282467635	S3-892097965	17
S1-282467635	S3-91245294	18
S1-282467635	S2-38777967	19
S1-282467635	S2-146314887	20
S1-727602285	S2-138660620	1
S1-727602285	S3-204655096	2
S1-727602285	S2-23141904	3
S1-727602285	S3-920299182	4
S1-727602285	S2-427520731	5
S1-727602285	S2-757079697	6
S1-727602285	S2-935452786	7
S1-727602285	S3-578868335	8
S1-727602285	S3-739671732	9
S1-727602285	S2-298111011	10
S1-727602285	S3-181139625	11
S1-727602285	S3-763610789	12
S1-727602285	S3-816242496	13
S1-727602285	S3-772630275	14
S1-727602285	S3-892940011	15
S1-727602285	S3-88019569	16
S1-727602285	S3-352959417	17
S1-727602285	S3-841264731	18
S1-727602285	S2-171239540	19
S1-727602285	S3-977987422	20
S1-302869473	S3-4761259	1
S1-302869473	S2-644912732	2
S1-302869473	S2-563734938	3
S1-302869473	S2-296257233	4
S1-302869473	S3-117004561	5
S1-302869473	S3-255860495	6
S1-302869473	S3-977028614	7
S1-302869473	S2-302439355	8
S1-302869473	S3-727888953	9
S1-302869473	S3-209932059	10
S1-302869473	S3-301300752	11
S1-302869473	S2-618291968	12
S1-302869473	S2-280222088	13
S1-302869473	S3-866881691	14
S1-302869473	S3-219303403	15
S1-302869473	S3-890114843	16
S1-302869473	S2-257410580	17
S1-302869473	S2-671638987	18
S1-302869473	S2-789096795	19
S1-302869473	S3-794446106	20
S1-65263544	S2-881122703	1
S1-65263544	S2-180463458	2
S1-65263544	S3-403476502	3
S1-65263544	S3-350074034	4
S1-65263544	S3-102573485	5
S1-65263544	S2-998270769	6
S1-65263544	S3-554714961	7
S1-65263544	S3-298862416	8
S1-65263544	S2-709666557	9
S1-65263544	S2-671428655	10
S1-65263544	S3-598137753	11
S1-65263544	S2-196910420	12
S1-65263544	S3-107995598	13
S1-65263544	S2-811051078	14
S1-65263544	S3-938226226	15
S1-65263544	S2-641331163	16
S1-65263544	S3-321545042	17
S1-65263544	S2-594413996	18
S1-65263544	S3-144443908	19
S1-65263544	S3-947405303	20
S1-840162906	S3-139858754	1
S1-840162906	S3-800978181	2
S1-840162906	S3-799520471	3
S1-840162906	S3-762681944	4
S1-840162906	S2-129529678	5
S1-840162906	S2-477554262	6
S1-840162906	S2-425844241	7
S1-840162906	S2-480042755	8
S1-840162906	S2-679311211	9
S1-840162906	S2-516779242	10
S1-840162906	S3-716743195	11
S1-840162906	S2-650828626	12
S1-840162906	S3-585160020	13
S1-840162906	S2-802356056	14
S1-840162906	S3-657017210	15
S1-840162906	S3-511181931	16
S1-840162906	S3-311224002	17
S1-840162906	S2-252789057	18
S1-840162906	S3-146624645	19
S1-840162906	S2-918499953	20
S1-264156494	S3-544213330	1
S1-264156494	S3-562014765	2
S1-264156494	S2-184087846	3
S1-264156494	S3-960885484	4
S1-264156494	S2-45696512	5
S1-264156494	S2-718824207	6
S1-264156494	S3-199040650	7
S1-264156494	S2-543643154	8
S1-264156494	S3-259738716	9
S1-264156494	S2-154495951	10
S1-264156494	S2-414663900	11
S1-264156494	S3-830935008	12
S1-264156494	S3-123408207	13
S1-264156494	S2-530072018	14
S1-264156494	S2-488390841	15
S1-264156494	S3-513334282	16
S1-264156494	S3-893839500	17
S1-264156494	S2-968515842	18
S1-264156494	S2-850978555	19
S1-264156494	S2-369283780	20
S1-567308588	S3-595927967	1
S1-567308588	S2-964733072	2
S1-567308588	S3-21806256	3
S1-567308588	S2-226928496	4
S1-567308588	S3-764465670	5
S1-567308588	S2-539728279	6
S1-567308588	S3-164995876	7
S1-567308588	S3-17427655	8
S1-567308588	S2-352519408	9
S1-567308588	S2-191200521	10
S1-567308588	S2-677172648	11
S1-567308588	S3-650110816	12
S1-567308588	S2-634184009	13
S1-567308588	S2-973576314	14
S1-567308588	S3-226633853	15
S1-567308588	S3-769579557	16
S1-567308588	S3-271131612	17
S1-567308588	S3-38960554	18
S1-567308588	S2-897896927	19
S1-567308588	S2-214744837	20
S1-292935703	S2-516200703	1
S1-292935703	S2-617410789	2
S1-292935703	S3-421403180	3
S1-292935703	S3-533626303	4
S1-292935703	S3-281904062	5
S1-292935703	S3-942647343	6
S1-292935703	S2-665498470	7
S1-292935703	S3-648814295	8
S1-292935703	S2-448542015	9
S1-292935703	S2-955422191	10
S1-292935703	S2-143395792	11
S1-292935703	S3-593637449	12
S1-292935703	S3-245122955	13
S1-292935703	S2-91265923	14
S1-292935703	S2-408413464	15
S1-292935703	S2-430207025	16
S1-292935703	S2-682388137	17
S1-292935703	S2-113587078	18
S1-292935703	S2-204065175	19
S1-292935703	S3-479533740	20
S1-439810025	S3-975833735	1
S1-439810025	S2-983636768	2
S1-439810025	S3-247750854	3
S1-439810025	S2-10152375	4
S1-439810025	S2-222554930	5
S1-439810025	S3-253300853	6
S1-439810025	S3-240772162	7
S1-439810025	S3-14011199	8
S1-439810025	S2-474547035	9
S1-439810025	S3-310173269	10
S1-439810025	S3-387627802	11
S1-439810025	S3-376846970	12
S1-439810025	S2-272702136	13
S1-439810025	S3-245901352	14
S1-439810025	S3-372612927	15
S1-439810025	S2-1809954	16
S1-439810025	S2-205283196	17
S1-439810025	S2-848435265	18
S1-439810025	S3-459464310	19
S1-439810025	S3-969352818	20
S1-525304403	S2-815373751	1
S1-525304403	S3-477957595	2
S1-525304403	S2-293401164	3
S1-525304403	S2-28868501	4
S1-525304403	S2-563429114	5
S1-525304403	S3-20878112	6
S1-525304403	S2-396573898	7
S1-525304403	S2-799902496	8
S1-525304403	S2-45860546	9
S1-525304403	S2-893609436	10
S1-525304403	S2-355669276	11
S1-525304403	S3-448543589	12
S1-525304403	S3-412226671	13
S1-525304403	S2-736047620	14
S1-525304403	S3-113175151	15
S1-525304403	S3-778026280	16
S1-525304403	S3-14234996	17
S1-525304403	S2-602932606	18
S1-525304403	S2-864732393	19
S1-525304403	S2-728664414	20
S1-314714647	S2-46909251	1
S1-314714647	S2-968477409	2
S1-314714647	S3-837108914	3
S1-314714647	S2-506234332	4
S1-314714647	S3-562655204	5
S1-314714647	S2-578754673	6
S1-314714647	S2-194272967	7
S1-314714647	S2-629065443	8
S1-314714647	S2-873996303	9
S1-314714647	S3-562152993	10
S1-314714647	S2-3065397	11
S1-314714647	S2-495285866	12
S1-314714647	S2-442321180	13
S1-314714647	S3-548224832	14
S1-314714647	S3-436862485	15
S1-314714647	S2-54504190	16
S1-314714647	S3-297368894	17
S1-314714647	S3-276078489	18
S1-314714647	S2-795881510	19
S1-314714647	S3-493223403	20
S1-616588883	S3-200505774	1
S1-616588883	S3-625680391	2
S1-616588883	S2-603899205	3
S1-616588883	S2-629012995	4
S1-616588883	S2-176015842	5
S1-616588883	S2-637188710	6
S1-616588883	S2-686301382	7
S1-616588883	S2-672160272	8
S1-616588883	S3-116485574	9
S1-616588883	S2-907064155	10
S1-616588883	S2-446089127	11
S1-616588883	S3-168190047	12
S1-616588883	S2-893969738	13
S1-616588883	S3-709809443	14
S1-616588883	S3-43044457	15
S1-616588883	S2-669081182	16
S1-616588883	S3-929252112	17
S1-616588883	S2-947782672	18
S1-616588883	S3-820405846	19
S1-616588883	S2-731785009	20
S1-72310418	S2-516305116	1
S1-72310418	S2-11779506	2
S1-72310418	S3-731160199	3
S1-72310418	S3-570980846	4
S1-72310418	S3-430714564	5
S1-72310418	S3-824485481	6
S1-72310418	S3-84237523	7
S1-72310418	S3-363661766	8
S1-72310418	S2-848099244	9
S1-72310418	S2-637530909	10
S1-72310418	S2-207308743	11
S1-72310418	S3-824752025	12
S1-72310418	S2-541248461	13
S1-72310418	S3-389762301	14
S1-72310418	S3-192772424	15
S1-72310418	S2-296020074	16
S1-72310418	S2-898153413	17
S1-72310418	S2-173147740	18
S1-72310418	S3-158073601	19
S1-72310418	S2-384902479	20
S1-9962387	S3-13637230	1
S1-9962387	S2-15221089	2
S1-9962387	S3-160760047	3
S1-9962387	S2-241831694	4
S1-9962387	S2-471384316	5
S1-9962387	S3-282870920	6
S1-9962387	S3-584505071	7
S1-9962387	S3-768924358	8
S1-9962387	S3-41834791	9
S1-9962387	S2-26777433	10
S1-9962387	S3-124982681	11
S1-9962387	S2-108570849	12
S1-9962387	S2-702080008	13
S1-9962387	S3-494568989	14
S1-9962387	S2-932408148	15
S1-9962387	S3-687220828	16
S1-9962387	S2-780886215	17
S1-9962387	S2-198447223	18
S1-9962387	S2-710981687	19
S1-9962387	S2-834966801	20
S1-463669205	S2-950226114	1
S1-463669205	S2-301757320	2
S1-463669205	S3-948627872	3
S1-463669205	S2-956326830	4
S1-463669205	S2-719527990	5
S1-463669205	S3-267468513	6
S1-463669205	S3-964755681	7
S1-463669205	S3-913696875	8
S1-463669205	S3-708574891	9
S1-463669205	S3-910324772	10
S1-463669205	S2-200248673	11
S1-463669205	S2-936901961	12
S1-463669205	S2-224708382	13
S1-463669205	S3-683082243	14
S1-463669205	S3-110824900	15
S1-463669205	S2-69351675	16
S1-463669205	S2-475487958	17
S1-463669205	S3-520378506	18
S1-463669205	S2-371876712	19
S1-463669205	S2-517491965	20
S1-116043204	S2-910647078	1
S1-116043204	S2-131116727	2
S1-116043204	S3-540330068	3
S1-116043204	S3-85523430	4
S1-116043204	S3-664305917	5
S1-116043204	S2-591127099	6
S1-116043204	S3-801512944	7
S1-116043204	S3-691771135	8
S1-116043204	S2-567018330	9
S1-116043204	S2-522242607	10
S1-116043204	S3-546939707	11
S1-116043204	S3-636565089	12
S1-116043204	S2-901535919	13
S1-116043204	S3-484558982	14
S1-116043204	S2-21079063	15
S1-116043204	S2-559542165	16
S1-116043204	S2-705693782	17
S1-116043204	S2-633090614	18
S1-116043204	S2-471950788	19
S1-116043204	S3-989432925	20
S1-818149988	S2-178277614	1
S1-818149988	S2-172270636	2
S1-818149988	S2-489380965	3
S1-818149988	S2-20059356	4
S1-818149988	S3-965578558	5
S1-818149988	S3-872067574	6
S1-818149988	S3-272110802	7
S1-818149988	S3-904215573	8
S1-818149988	S3-624403603	9
S1-818149988	S3-650110816	10
S1-818149988	S3-412510310	11
S1-818149988	S3-925324948	12
S1-818149988	S2-97787033	13
S1-818149988	S2-243506734	14
S1-818149988	S2-841671373	15
S1-818149988	S2-874738843	16
S1-818149988	S2-801424949	17
S1-818149988	S3-702583789	18
S1-818149988	S2-930250548	19
S1-818149988	S3-506701486	20
S1-876102895	S3-949391374	1
S1-876102895	S3-856057185	2
S1-876102895	S2-358560681	3
S1-876102895	S3-711371217	4
S1-876102895	S2-791711694	5
S1-876102895	S3-81099386	6
S1-876102895	S3-622303903	7
S1-876102895	S2-742191837	8
S1-876102895	S3-515679935	9
S1-876102895	S2-425997697	10
S1-876102895	S2-933962693	11
S1-876102895	S3-496457811	12
S1-876102895	S2-413373030	13
S1-876102895	S2-709481405	14
S1-876102895	S3-389951901	15
S1-876102895	S2-399826427	16
S1-876102895	S2-127338024	17
S1-876102895	S3-71609182	18
S1-876102895	S2-601962363	19
S1-876102895	S2-900675936	20
S1-262997549	S2-816431231	1
S1-262997549	S2-688592461	2
S1-262997549	S2-788942696	3
S1-262997549	S2-263312850	4
S1-262997549	S3-472418005	5
S1-262997549	S2-762719020	6
S1-262997549	S3-173551107	7
S1-262997549	S2-594761192	8
S1-262997549	S2-866445184	9
S1-262997549	S3-171653055	10
S1-262997549	S2-708347357	11
S1-262997549	S2-79378669	12
S1-262997549	S3-766094252	13
S1-262997549	S3-196555343	14
S1-262997549	S2-654824196	15
S1-262997549	S2-140824864	16
S1-262997549	S3-946005307	17
S1-262997549	S2-408870395	18
S1-262997549	S2-172478741	19
S1-262997549	S2-371605457	20
S1-730719211	S2-241456014	1
S1-730719211	S2-61695240	2
S1-730719211	S3-951830396	3
S1-730719211	S2-467798366	4
S1-730719211	S3-217957749	5
S1-730719211	S3-89096722	6
S1-730719211	S3-164880296	7
S1-730719211	S3-126246568	8
S1-730719211	S2-106467520	9
S1-730719211	S3-393137630	10
S1-730719211	S3-540844811	11
S1-730719211	S2-894058872	12
S1-730719211	S2-544882902	13
S1-730719211	S2-669531295	14
S1-730719211	S2-96183630	15
S1-730719211	S3-75450066	16
S1-730719211	S2-611098319	17
S1-730719211	S3-260486306	18
S1-730719211	S3-188237582	19
S1-730719211	S3-623657835	20
S1-491795528	S3-751371369	1
S1-491795528	S2-977672203	2
S1-491795528	S2-707708907	3
S1-491795528	S2-910694348	4
S1-491795528	S3-746009250	5
S1-491795528	S3-449254398	6
S1-491795528	S3-198224533	7
S1-491795528	S2-483495377	8
S1-491795528	S3-239320530	9
S1-491795528	S3-21691261	10
S1-491795528	S3-491551827	11
S1-491795528	S2-399798402	12
S1-491795528	S2-502933715	13
S1-491795528	S2-978750008	14
S1-491795528	S3-261791209	15
S1-491795528	S2-722802684	16
S1-491795528	S3-23461896	17
S1-491795528	S3-628159716	18
S1-491795528	S2-241340082	19
S1-491795528	S2-40532406	20
S1-508022910	S2-134125587	1
S1-508022910	S3-381813493	2
S1-508022910	S2-710877750	3
S1-508022910	S2-240925881	4
S1-508022910	S3-568077017	5
S1-508022910	S2-12184132	6
S1-508022910	S2-67393281	7
S1-508022910	S2-823539544	8
S1-508022910	S2-867570877	9
S1-508022910	S2-426741657	10
S1-508022910	S3-465067634	11
S1-508022910	S2-172663057	12
S1-508022910	S3-128000212	13
S1-508022910	S2-785119733	14
S1-508022910	S3-391398439	15
S1-508022910	S2-126401737	16
S1-508022910	S2-364485092	17
S1-508022910	S2-75045990	18
S1-508022910	S2-394358331	19
S1-508022910	S2-225248337	20
S1-473377609	S3-422061211	1
S1-473377609	S2-379082558	2
S1-473377609	S2-600484850	3
S1-473377609	S3-727620719	4
S1-473377609	S2-861620994	5
S1-473377609	S3-16666157	6
S1-473377609	S3-513718525	7
S1-473377609	S2-125711822	8
S1-473377609	S2-691274383	9
S1-473377609	S2-343725125	10
S1-473377609	S3-380536937	11
S1-473377609	S3-874643855	12
S1-473377609	S2-298054106	13
S1-473377609	S3-279319488	14
S1-473377609	S3-518769802	15
S1-473377609	S2-396375008	16
S1-473377609	S2-118090934	17
S1-473377609	S3-182582668	18
S1-473377609	S2-509870806	19
S1-473377609	S3-761753984	20
S1-72444401	S2-472011237	1
S1-72444401	S2-9053863	2
S1-72444401	S3-412045465	3
S1-72444401	S2-185828093	4
S1-72444401	S3-584885363	5
S1-72444401	S2-930373992	6
S1-72444401	S3-800445292	7
S1-72444401	S2-944723443	8
S1-72444401	S2-725336634	9
S1-72444401	S3-215842866	10
S1-72444401	S2-163050060	11
S1-72444401	S2-339968324	12
S1-72444401	S3-973402359	13
S1-72444401	S3-956821521	14
S1-72444401	S2-973800896	15
S1-72444401	S2-503949813	16
S1-72444401	S3-839441971	17
S1-72444401	S3-386154035	18
S1-72444401	S3-295640047	19
S1-72444401	S2-765329034	20
S1-67172650	S2-74945214	1
S1-67172650	S2-555166797	2
S1-67172650	S3-520282171	3
S1-67172650	S3-251407198	4
S1-67172650	S3-776312267	5
S1-67172650	S3-130306996	6
S1-67172650	S3-58606399	7
S1-67172650	S3-232613157	8
S1-67172650	S3-209256644	9
S1-67172650	S2-267144532	10
S1-67172650	S2-280227116	11
S1-67172650	S3-875485314	12
S1-67172650	S3-278744341	13
